Service Application,Endpoint Path,HTTP Method,Tags,Summary,Description,Parameters,Request Body,Response Models
Time-Series API,/health,GET,Storage,Service Health Check,Check operational status of the Time-Series API service.,None,None,HTTP 200: Successful Response -> application/json
Time-Series API,/api/v1/store/telemetry,POST,Storage,Store Telemetry Data,Ingest sensor telemetry data points. Uploads raw dataset to MinIO bucket and updates Redis cache.,None,"application/json: TelemetryIngestRequest [sensor_id*: string, data_points*: array]",HTTP 200: Successful Response -> application/json | HTTP 422: Validation Error -> application/json (HTTPValidationError)
Time-Series API,/api/v1/store/telemetry/{sensor_id},GET,Storage,Get Cached Telemetry,Retrieve stored telemetry data points for a given sensor ID from Redis cache.,"sensor_id (path, string, required)",None,HTTP 200: Successful Response -> application/json | HTTP 422: Validation Error -> application/json (HTTPValidationError)
Time-Series API,/api/v1/ls/sync-project,POST,Label Studio,Sync Label Studio Project,Create or synchronize a Label Studio project designed for time-series telemetry labeling.,None,"application/json: LabelStudioSyncRequest [project_title: string, description: string]",HTTP 200: Successful Response -> application/json | HTTP 422: Validation Error -> application/json (HTTPValidationError)
Time-Series API,/api/v1/ls/tasks,POST,Label Studio,Create Label Studio Tasks,Convert sensor telemetry data into Label Studio annotation tasks and import into project.,"project_id (query, integer, required); sensor_id (query, string, required)",None,HTTP 200: Successful Response -> application/json | HTTP 422: Validation Error -> application/json (HTTPValidationError)
Time-Series API,/api/v1/jobs/forecast,POST,Jobs,Enqueue Forecasting Job,Enqueue a background ARQ task to execute Prophet/LSTM time-series forecasting.,None,"application/json: ForecastJobRequest [sensor_id*: string, horizon: integer, data_points: any]",HTTP 200: Successful Response -> application/json | HTTP 422: Validation Error -> application/json (HTTPValidationError)
Time-Series API,/api/v1/jobs/{job_id},GET,Jobs,Get Job Status,Retrieve current execution status and results for a queued or completed ARQ job.,"job_id (path, string, required)",None,HTTP 200: Successful Response -> application/json | HTTP 422: Validation Error -> application/json (HTTPValidationError)
Time-Series API,/api/v1/analytics/summary,GET,Analytics,Get Telemetry Analytics Summary,"Calculate summary statistics (mean, min, max, std) for a given sensor telemetry dataset.","sensor_id (query, string, optional)",None,HTTP 200: Successful Response -> application/json | HTTP 422: Validation Error -> application/json (HTTPValidationError)
Time-Series API,/api/v1/analytics/train,POST,Analytics,Enqueue Model Training,Enqueue background job to train Prophet/LSTM model on specified time-series dataset.,None,"application/json: TrainJobRequest [dataset_id*: string, model_type: string, epochs: integer]",HTTP 200: Successful Response -> application/json | HTTP 422: Validation Error -> application/json (HTTPValidationError)
Non-Time-Series API,/health,GET,Storage,Service Health Check,Check operational status of the Computer Vision Image Detection & Classification Service.,None,None,HTTP 200: Successful Response -> application/json
Non-Time-Series API,/api/v1/store/upload-image,POST,Storage,Upload Image,Upload a general image to MinIO object storage for detection and classification.,None,"multipart/form-data: Body_upload_image_api_v1_store_upload_image_post [file*: string, image_id: any]",HTTP 200: Successful Response -> application/json (ImageUploadResponse) | HTTP 422: Validation Error -> application/json (HTTPValidationError)
Non-Time-Series API,/api/v1/store/images/{image_id},GET,Storage,Get Image Metadata & URL,Retrieve stored image metadata and active presigned S3 download URL.,"image_id (path, string, required)",None,HTTP 200: Successful Response -> application/json | HTTP 422: Validation Error -> application/json (HTTPValidationError)
Non-Time-Series API,/api/v1/ls/create-project,POST,Label Studio,Create Label Studio Vision Project,Create a Label Studio project configured with RectangleLabels bounding boxes for object detection.,None,"application/json: VisionLabelStudioProjectRequest [project_title: string, description: string]",HTTP 200: Successful Response -> application/json | HTTP 422: Validation Error -> application/json (HTTPValidationError)
Non-Time-Series API,/api/v1/ls/annotations/{project_id},GET,Label Studio,Fetch Project Annotations,Fetch annotated image tasks and bounding box labels from Label Studio project.,"project_id (path, integer, required)",None,HTTP 200: Successful Response -> application/json | HTTP 422: Validation Error -> application/json (HTTPValidationError)
Non-Time-Series API,/api/v1/jobs/inference,POST,Jobs,Enqueue Vision Inference Job,Enqueue a background ARQ task to perform general image object detection and classification inference.,None,"application/json: InferenceJobRequest [image_id*: string, image_bucket: string, object_key: string]",HTTP 200: Successful Response -> application/json | HTTP 422: Validation Error -> application/json (HTTPValidationError)
Non-Time-Series API,/api/v1/jobs/{job_id},GET,Jobs,Get Job Status,Retrieve current status and classification outputs for a queued or completed vision job.,"job_id (path, string, required)",None,HTTP 200: Successful Response -> application/json | HTTP 422: Validation Error -> application/json (HTTPValidationError)
Non-Time-Series API,/api/v1/analytics/image-stats,GET,Analytics,Get Vision Analytics Metrics,"Get aggregated analytics metrics for processed general images, object detection counts, and average confidence.",None,None,HTTP 200: Successful Response -> application/json
Non-Time-Series API,/api/v1/analytics/batch-evaluate,POST,Analytics,Trigger Batch Evaluation,Enqueue background job to perform batch object detection and classification evaluation across multiple images.,None,"application/json: BatchInferenceRequest [batch_id*: string, image_keys*: array]",HTTP 200: Successful Response -> application/json | HTTP 422: Validation Error -> application/json (HTTPValidationError)
